article_id,title,region,written_date,manner_temperature,price,content,chat_count
319128698,85W MagSafe 2 맥북 충전기 MacBook charger,광진구 자양제3동,끌올1일전,38.0°C,"80,000원",미개봉,관심16|채팅51|조회741
435545918,"맥북프로 13인치 (MacBook Pro 13"" Late 2013) - 충전기, 애플스티커, 박스포함",강남구 논현1동,끌올1일전,39.5°C,"210,000원","맥북프로 13인치 2013후기형 (A1502) 모델입니다. 2014년 구매했습니다.
 (운영 정책에 의한 URL 자동 숨김)  인텔 i5
 (운영 정책에 의한 URL 자동 숨김)  Intel Iris Integrated Graphics 1536MB
 (운영 정책에 의한 URL 자동 숨김)  4GB DDR3
 (운영 정책에 의한 URL 자동 숨김)  121GB
박스포함이며, 맥세이프 2 충전기와 애플스티커 포함입니다. 지금 구매하시면 보호용 하드 케이스 같이 드립니다.
외관에 약간 찍힌 자국 있지만 전반적으로 매우 깨끗하고 사용에 문제는 없으며, 아직도 문제없이 잘 돌아갑니다! 간단 웹서핑 및 문서작성 정도에는 아직도 현역이네요. 
오래 함께한 녀석이지만 안쓰게 되어 좀 더 쓸곳이 있기를 바라며 올려봅니다.
직거래는 압구정역, 언주역 (차병원) 됩니다. 쿨거래 하시면 좀 깎아 드리겠습니다.",관심27|채팅5|조회961
472369322,"Macbook (13-inch, Late 2009) 맥북 흰둥이 판매",서초구 서초3동,끌올1일전,39.0°C,"95,000원","정상 작동됩니다!
빈티지 맥북이에요
겉면에 물듦이 있어요
사용하실때는 전혀 문제없습니다
충전기와 함께 드립니다
넘넘 귀엽고 빈티지스러운 맥북입니다.",관심7|채팅1|조회176
466465212,맥북프로 MacBook Pro 13인치 2019,강서구 화곡제3동,끌올1일전,36.5°C,"600,000원","전체 외관 필름 내부 필름 붙이고 사용해서 깨끗합니다.
모서리부분 미세한 찍힘 있어요.
사이클횟수 사진 첨부 했습니다. 깨끗하게 사용한편입니다. 업데이트 완료했고 직거래 선호합니다.",관심4|채팅1|조회226
455949988,맥북프로 MacBook Pro 14 2021년 M1 Pro CPU 8코어 GPU 14코어 16GB 512GB,송파구 마천동,끌올1일전,41.4°C,220만원,"MacBook Pro 14 2021년 M1 Pro CPU 8코어 GPU 14코어 16GB 512GB 팝니다!
생각했던 것보다 화면이 작아서 16인치로 바꾸려고 팝니다.
제품 제조연월은 22년 3월이고
22년 4월 18일에 수령했습니다!
제품 수령 후 기본 셋팅만 하고 거의 사용하지 않은
새제품 상태 A급입니다!
구성품은 충전기와 맥북 박스 tomtoc 파우치 입니다.
관심 있으신 분은 연락주세요.",관심4|채팅0|조회331
474188931,"애플 맥북 프로 15인치 고급형 MacBook Pro (Retina, 15-inch, Mid 2015)",삼평동 테크노밸리,1일전,45.0°C,"600,000원","MacBook Pro (Retina, 15-inch, Mid 2015) 고급형
프로세서 2.8 GHz 쿼드 코어 Intel Core i7
메모리 16GB 1600 MHz DDR3
그래픽 AMD Radeon R9 M370X 2 GB
Intel Iris Pro 1536 MB
저장공간 500GB
15.4인치(2880 x 1800)
22년 10월 15일에 
배터리 리콜받아서 하부 교체했어요 
(키보드, 배터리 새거)
사이클수 1 이고 상태 매우 좋습니다 
호불호 갈리는 터치바가 없는 제품이고
애플로고에 불이들어오는 마지막 버전입니다 
usb 포트도 장점입니다
박스는 없고 파우치는 원하시면 드립니다
아끼던 노트북이라 전체상태는 좋고 
약간의 생활기스 있어요",관심7|채팅0|조회70
474148053,Apple Macbook(맥북)Air 💻,달서구 감삼동,1일전,36.5°C,"350,000원","올해구매제품.
전체적으로 눈에 띄는 기스나 찍힘 없어 보이고
아주 깨끗하게 사용했습니다.
모든 것을 포함해서요.
배터리효율은 마지막확인 99%입니다.",관심10|채팅2|조회308
467540760,19년형 맥북프로 16인치 MacbookPro 16inch,청주시 상당구 용암동,끌올1일전,37.1°C,170만원,"2020년 8월에 구매했습니다. 
당시에 애플교육할인스토어에서 370만원정도 주고 구매했었는데 눈물이나네요.
인텔 i9 / RAM16 / 1TB 
배터리사이클 200
음악작업용으로 잘 사용하고 있었는데, 더 높은 사양의 컴퓨터가 필요한 상황이 되어서 급하게 판매합니다.
작업실에만 두고 사용했습니다.
트랙패드테두리 오른쪽 모서리쪽에 살짝 까진게 있는데 트랙패드엔 문제 전혀 없습니다. ㅠ
상판에 스티커를 1개 붙였습니다ㅠㅠㅠ 이걸 팔거란 생각안하고 조심히 잘 사용했었습니다.",관심2|채팅0|조회109
456434240,맥북 에어 MACBOOK AIR 2017 판매 (13인치),연수구 송도2동,끌올1일전,37.6°C,"600,000원","기억은 잘 안나지만 2018년 말쯤 구매 했던 것 같아요. 보증 기간은 만료 되었습니다. 컴퓨터 사양은 사진 참고 부탁드려요. 
외관상 깨끗하고 작동도 잘 됩니다. 가끔 인강 보거나 서칭 할 때만 써서 정말 깨끗하고 새 것 같아요. 제 눈으로는 기스를 못찾겠어요. 
직접 보시고 구매여부 결정 하실 분은 인천대 쪽으로 와주세요. 
☑️쿨거시 5만원 할인 
☑️노트북 파우치 원하시면 같이 드림 
☑️직거래만 가능 
박스 X 구성품 X 전원코드 O",관심3|채팅1|조회243
469466909,맥북프로(macbook pro)2015 13인치 256G,춘천시 후평1동,끌올1일전,36.5°C,"300,000원","연락주세요!
mac 입문용으로 더할나위 없습니다!",관심15|채팅2|조회255
474194765,"애플 맥북 프로 15인치 고급형 MacBook Pro (Retina, 15-inch, Mid 2015)",수원시 영통구 망포동,1일전,45.0°C,"600,000원","MacBook Pro (Retina, 15-inch, Mid 2015) 고급형
프로세서 2.8 GHz 쿼드 코어 Intel Core i7
메모리 16GB 1600 MHz DDR3
그래픽 AMD Radeon R9 M370X 2 GB
Intel Iris Pro 1536 MB
저장공간 500GB
15.4인치(2880 x 1800)
22년 10월 15일에 
배터리 리콜받아서 하부 교체했어요 
(키보드, 배터리 새거)
사이클수 1 이고 상태 매우 좋습니다 
호불호 갈리는 터치바가 없는 제품이고
애플로고에 불이들어오는 마지막 버전입니다 
usb 포트도 장점입니다
박스는 없고 파우치는 원하시면 드립니다
아끼던 노트북이라 전체상태는 좋고 
약간의 생활기스 있어요",관심10|채팅0|조회219
474092324,맥북 프로 13 (macbook pro 13),서초구 서초동,1일전,36.5°C,200만원,"몇번 안쓴 2018 맥북프로 13
새것처럼 스크래치, 흠집 전혀 없습니다.",관심0|채팅0|조회68
